freq	demod_Phase0	demod_Magnitude0
1.013700000000000045e+01	-2.941945225776705808e+00	7.052219994911759294e-04
1.013799999999999990e+01	-2.586838598845874859e+00	7.588674802102685600e-04
1.013899999999999935e+01	-2.223307136381689642e+00	7.272226725816204138e-04
1.014000000000000057e+01	-1.861747247362833146e+00	7.355340980987874842e-04
1.014100000000000001e+01	-1.592402130562232898e+00	7.760007051459655953e-04
1.014199999999999946e+01	-1.279303600336477942e+00	7.713272784105642795e-04
1.014300000000000068e+01	-9.678963549131498478e-01	7.695605558732261089e-04
1.014400000000000013e+01	-7.230062376419806869e-01	7.577328558096175105e-04
1.014499999999999957e+01	-4.458053189632109059e-01	7.261380506601932501e-04
1.014600000000000080e+01	-1.939471331315344160e-01	6.909459228426301051e-04
1.014700000000000024e+01	-1.185856053854852411e-02	6.441872556353124557e-04
1.014799999999999969e+01	1.740902928115640180e-01	5.879767909628805158e-04
1.014899999999999913e+01	3.360941948478123331e-01	5.302649357778435775e-04
1.015000000000000036e+01	4.953815873437049655e-01	4.889434712316821858e-04
1.015099999999999980e+01	6.947312044828388711e-01	4.377348707099933166e-04
1.015199999999999925e+01	7.619532910150050853e-01	3.763353913364111329e-04
1.015300000000000047e+01	7.454321383132449519e-01	3.754128048567211906e-04
1.015399999999999991e+01	8.549140650479180037e-01	3.388994263740315494e-04
1.015499999999999936e+01	7.765785385165037136e-01	3.589268560966420076e-04
1.015600000000000058e+01	7.893641381267335611e-01	3.718423709876375778e-04
1.015700000000000003e+01	8.935035613704990221e-01	3.459737140291007274e-04
1.015799999999999947e+01	1.016509511261932452e+00	4.147173276588068730e-04
1.015900000000000070e+01	1.189103511364271615e+00	3.976282628343600386e-04
1.016000000000000014e+01	1.332568187516641078e+00	3.764628954128552865e-04
1.016099999999999959e+01	1.469288290256382634e+00	3.953286019260208203e-04
1.016200000000000081e+01	1.738065334155861397e+00	3.753202715662831376e-04
1.016300000000000026e+01	2.025942054897966749e+00	3.364934379450797153e-04
1.016399999999999970e+01	2.372228905420089351e+00	2.880727486957860347e-04
1.016499999999999915e+01	2.851894758292918830e+00	2.173947955821790335e-04
1.016600000000000037e+01	-2.958483786748990152e+00	1.798285144157936942e-04
1.016699999999999982e+01	-2.243643343821608571e+00	1.831739621015536609e-04
1.016799999999999926e+01	-1.845310626955629862e+00	2.482542372731531095e-04
1.016900000000000048e+01	-1.367579175524812563e+00	3.306003215468819069e-04
1.016999999999999993e+01	-8.947671792576901151e-01	4.143487083405393654e-04
1.017099999999999937e+01	-5.902063926123904958e-01	4.898167139271662057e-04
1.017200000000000060e+01	-3.424915306557630434e-01	5.603063282563436548e-04
1.017300000000000004e+01	-9.549262469866875991e-02	6.871856063608833666e-04
1.017399999999999949e+01	1.856232462126724547e-01	7.275175905632183439e-04
1.017500000000000071e+01	4.066084922037651039e-01	8.161084125742135761e-04
1.017600000000000016e+01	7.078431021303120962e-01	8.882177240667408743e-04
1.017699999999999960e+01	9.402342194534663022e-01	9.140487095884393181e-04
1.017800000000000082e+01	1.184099574518788334e+00	9.428751568709797760e-04
1.017900000000000027e+01	1.427571248282291538e+00	9.532796425907908182e-04
1.017999999999999972e+01	1.677953933853871149e+00	9.439164294302894442e-04
1.018099999999999916e+01	1.970389871408817051e+00	9.493121393794342168e-04
1.018200000000000038e+01	2.199807691351719718e+00	9.421058275850689896e-04
1.018299999999999983e+01	2.493258716699531696e+00	8.885146771203580179e-04
1.018399999999999928e+01	2.795140448340553530e+00	8.862577750265818611e-04
1.018500000000000050e+01	-3.125317357311711230e+00	8.358353687392493627e-04
1.018599999999999994e+01	-2.845806001173963651e+00	8.068641223222487030e-04
1.018699999999999939e+01	-2.484269231136578604e+00	8.120102440767302350e-04
1.018800000000000061e+01	-2.143416077726120417e+00	7.532054639757925288e-04
1.018900000000000006e+01	-1.751605127649593197e+00	7.565009672958496580e-04
1.018999999999999950e+01	-1.427100049433729811e+00	7.504654451357064713e-04
1.019100000000000072e+01	-1.069642089014815944e+00	7.965804788046732844e-04
1.019200000000000017e+01	-7.282627990060444034e-01	7.999278033201592808e-04
1.019299999999999962e+01	-3.380313942109842706e-01	8.632068911189909235e-04
1.019400000000000084e+01	-2.204601854620553622e-02	8.579476867628050077e-04
1.019500000000000028e+01	2.912012189525713945e-01	9.017520777922461914e-04
1.019599999999999973e+01	6.109004039365759642e-01	9.524919401194171815e-04
1.019699999999999918e+01	9.056508311946195322e-01	1.031223922170753987e-03
1.019800000000000040e+01	1.259496326568473989e+00	1.059707656568717590e-03
1.019899999999999984e+01	1.542159530803027145e+00	1.086912561864691266e-03
1.019999999999999929e+01	1.836323013832601658e+00	1.156103642763356767e-03
1.020100000000000051e+01	2.114008643304858381e+00	1.150954030070456364e-03
1.020199999999999996e+01	2.397634806627693571e+00	1.202450441284135191e-03
1.020299999999999940e+01	2.703026812558916969e+00	1.260575207204423431e-03
1.020400000000000063e+01	2.991541163794999125e+00	1.256503320781282790e-03
1.020500000000000007e+01	-3.005944416505420325e+00	1.299686554263529805e-03
1.020599999999999952e+01	-2.757351615594393568e+00	1.335836598191940611e-03
1.020700000000000074e+01	-2.455464110980011494e+00	1.316413632639326778e-03
1.020800000000000018e+01	-2.177042775926653739e+00	1.321511106658524067e-03
1.020899999999999963e+01	-1.897587121210227989e+00	1.316855578554085087e-03
1.021000000000000085e+01	-1.607154761328731807e+00	1.258764208470562534e-03
1.021100000000000030e+01	-1.335466598370744773e+00	1.227669861761619121e-03
1.021199999999999974e+01	-1.036730765700379919e+00	1.154280008751687459e-03
1.021299999999999919e+01	-6.847481099025833906e-01	1.093808189173791365e-03
1.021400000000000041e+01	-3.585560090732798910e-01	1.083247359435041482e-03
1.021499999999999986e+01	1.754252729826111246e-02	1.022936263462066297e-03
1.021599999999999930e+01	3.794371079607384289e-01	9.988050111935215490e-04
1.021700000000000053e+01	7.404798921686024382e-01	1.004705527765691877e-03
1.021799999999999997e+01	1.118114521251175386e+00	1.007600044366941316e-03
1.021899999999999942e+01	1.457778545103952439e+00	1.072369477696659456e-03
1.022000000000000064e+01	1.811064509913852483e+00	1.130103902947134954e-03
1.022100000000000009e+01	2.140263687402668147e+00	1.193656510544063593e-03
1.022199999999999953e+01	2.457789088191215221e+00	1.262112203096541450e-03
1.022300000000000075e+01	2.790420845047953957e+00	1.343934437924473998e-03
1.022400000000000020e+01	3.067867014062440667e+00	1.365876062077954348e-03
1.022499999999999964e+01	-2.920799670929256742e+00	1.464133006360391438e-03
1.022600000000000087e+01	-2.680921002849204537e+00	1.505132368717802772e-03
1.022700000000000031e+01	-2.390238578994341001e+00	1.533485297811254403e-03
1.022799999999999976e+01	-2.143452745365610923e+00	1.589071474881465808e-03
1.022899999999999920e+01	-1.866142422038654658e+00	1.588279888706473162e-03
1.023000000000000043e+01	-1.632578654145229624e+00	1.550644593124682292e-03
1.023099999999999987e+01	-1.358567677484072034e+00	1.541812979924193049e-03
1.023199999999999932e+01	-1.084116196802951571e+00	1.488980683057296696e-03
1.023300000000000054e+01	-7.890815994877056205e-01	1.435293409043280830e-03
1.023399999999999999e+01	-5.130556910424657335e-01	1.349972774267195778e-03
1.023499999999999943e+01	-1.804653421132788038e-01	1.265270247585137051e-03
1.023600000000000065e+01	1.617502960127127631e-01	1.215139216501731536e-03
1.023700000000000010e+01	4.836036584215150369e-01	1.190447695493046260e-03
1.023799999999999955e+01	8.356445887648916715e-01	1.124894115188271012e-03
1.023900000000000077e+01	1.245681394984901935e+00	1.114690579179312795e-03
1.024000000000000021e+01	1.604017331702825233e+00	1.113324673419074365e-03
1.024099999999999966e+01	1.947303480725083968e+00	1.187581596976254724e-03
1.024200000000000088e+01	2.319405876451737569e+00	1.195429692759046982e-03
1.024300000000000033e+01	2.634136663176671611e+00	1.288300050409225224e-03
1.024399999999999977e+01	2.972374799745645557e+00	1.366235705826845254e-03
1.024499999999999922e+01	-2.993833644031455243e+00	1.392151600062508255e-03
1.024600000000000044e+01	-2.683905943987101583e+00	1.477140008182682230e-03
1.024699999999999989e+01	-2.413229180996002476e+00	1.541795600346545798e-03
1.024799999999999933e+01	-2.106012860848270662e+00	1.570611490621730277e-03
1.024900000000000055e+01	-1.851276466367767437e+00	1.617222141175215806e-03
1.025000000000000000e+01	-1.564084586351134121e+00	1.610589944247795132e-03
1.025099999999999945e+01	-1.283191946371494918e+00	1.659989971740839440e-03
1.025200000000000067e+01	-1.006822007902261618e+00	1.641342890635119969e-03
1.025300000000000011e+01	-7.222365110290421830e-01	1.621193810002957659e-03
1.025399999999999956e+01	-4.192509064462428547e-01	1.571831952753650809e-03
1.025500000000000078e+01	-1.523961269542962738e-01	1.552657087521110840e-03
