freq	demod_AI0	demod_AQ0	demod_BI0	demod_BQ0
1.004700000000000060e+01	1.993722274772947306e-03	-7.112666135864799139e-04	6.591574079673112596e-02	-3.661570296649405143e-02
1.004800000000000004e+01	-2.200114293402295491e-03	2.308653023751417908e-04	-7.525580247966572045e-02	-3.494206475699365450e-03
1.004899999999999949e+01	1.639498612314038966e-03	-1.522971709906653561e-03	7.135299938251708773e-02	-2.463377573009009960e-02
1.005000000000000071e+01	-2.069905945342608369e-03	-1.010000422648095605e-03	-2.989634050294538020e-02	-6.929714286285576508e-02
1.005100000000000016e+01	2.238126405881377991e-03	-6.003146896477826872e-04	5.734249343368831575e-02	4.903816163584719112e-02
1.005199999999999960e+01	-1.861220177181906535e-03	-1.374742541794409445e-03	2.396983825111846308e-02	-7.159854454287153946e-02
1.005300000000000082e+01	2.379359279345080052e-04	2.299709651424992982e-03	-7.437125834566110649e-02	1.163963584865011780e-02
1.005400000000000027e+01	-1.550723829843543436e-03	1.640158968927459817e-03	-4.175963600064353659e-02	-6.277845778221545492e-02
1.005499999999999972e+01	-1.935120836493369606e-03	9.985150946397495456e-04	2.591842623139519602e-03	-7.531188393504599510e-02
1.005599999999999916e+01	-2.079770809595909292e-03	-1.425478521241473420e-04	5.765812348120358949e-02	-4.835120061962937255e-02
1.005700000000000038e+01	-1.001479356059379461e-03	1.746280503675983527e-03	3.104091430940853543e-03	-7.537331461726444470e-02
1.005799999999999983e+01	4.909705911184783543e-04	-1.812906734873189407e-03	-7.417998531641403076e-03	7.508008624961740041e-02
1.005899999999999928e+01	-1.806271866852418324e-03	-2.190500517610166273e-04	7.226079144768178530e-02	2.136462375831322397e-02
1.006000000000000050e+01	-1.510432412124851527e-03	9.328781058194912396e-04	7.539572124898605288e-02	-3.458701703930394666e-03
1.006099999999999994e+01	-1.726846322347869948e-03	-2.915931091536762962e-05	4.849109622582870732e-02	5.794504868101399420e-02
1.006199999999999939e+01	-1.446042203499110388e-03	9.299530461420302653e-04	6.087858976702304609e-02	4.480833951204431925e-02
1.006300000000000061e+01	1.579250581603775698e-03	-6.104927607118861921e-04	-2.927315136598954842e-02	-6.932681822991584863e-02
1.006400000000000006e+01	1.547204671924170757e-03	-7.819425732415138160e-04	-1.136775746015167114e-02	-7.445317553952697509e-02
1.006499999999999950e+01	-1.754694842205119882e-03	4.241512918428223138e-04	-3.210192861503620432e-02	6.793870714342202521e-02
1.006600000000000072e+01	1.847148122299566804e-03	4.816332733923582700e-06	6.275082767253027660e-02	-4.183842466344113442e-02
1.006700000000000017e+01	5.976227550092955262e-05	1.941923543682292459e-03	2.181064850676801489e-02	7.214899471950346477e-02
